Source,Destination,Start time,End time,Capacity,Flight Number
LAX,JFK,2:15 PM,10:31 PM,Boeing 767-300,DL 2262
LAX,JFK,12:40 PM,9:02 PM,Boeing 767-300,DL 468
LAX,JFK,11:25 AM,7:54 PM,Boeing 757-200 ,DL 2787
LAX,JFK,2:00 PM,10:18 PM,Airbus A321,AA 32
LAX,JFK,12:00 PM,8:24 PM,Airbus A321,AA 274
LAX,JFK,6:05 AM,2:23 PM,Boeing 767-300,DL 1436
LAX,JFK,9:25 AM,5:50 PM,Boeing 767-300,DL 2164
LAX,JFK,11:00 AM,7:25 PM,Airbus A321,AA 4
LAX,JFK,7:55 AM,4:12 PM,Boeing 767-300,DL 1258
LAX,JFK,7:00 AM,3:18 PM,Airbus A321 ,AA 118
LAX,JFK,10:00 AM,6:23 PM,Airbus A321 ,AA 238
LAX,JFK,8:00 AM,4:19 PM,Airbus A321 ,AA 2
LAX,JFK,12:30 AM,8:48 AM,Airbus A321 ,AA 292
LAX,SFO,8:54 AM,10:36 AM,Boeing 737-800,UA 488
LAX,SFO,3:18 PM,4:44 PM,Airbus A320,DL 2757
LAX,SFO,12:58 PM,2:27 PM,Airbus A319,DL 1327
LAX,SFO,9:16 PM,10:45 PM,Boeing 737-900,DL 1332
LAX,SFO,7:00 AM,8:35 AM,Boeing 737-800,DL 2313
LAX,SFO,7:10 PM,8:49 PM,Bombardier CRJ-200,UA 5366 operated by Skywest DBA UA Express
LAX,SFO,9:10 PM,10:45 PM,Airbus A320,UA 2201
LAX,SFO,12:15 PM,1:51 PM,Boeing 737-800,UA 447
LAX,SFO,9:30 AM,11:15 AM,Boeing 757-200,UA 708
LAX,SFO,10:45 AM,12:30 PM,Boeing 737-800,UA 2186
LAX,SFO,5:50 PM,7:14 PM,Airbus A320,DL 2803
LAX,SFO,7:42 PM,9:14 PM,Boeing 737-900,DL 2226
LAX,SFO,8:00 PM,9:32 PM,Airbus A321,AA 892
LAX,SFO,3:20 PM,4:59 PM,Bombardier CRJ-200,UA 5286 operated by Skywest DBA UA Express
LAX,SFO,9:05 AM,10:38 AM,Airbus A319,DL 1806
LAX,SFO,6:17 PM,7:49 PM,Boeing 737-800,AA 1095
LAX,SFO,6:40 AM,8:15 AM,Boeing 737-800,AA 2891
LAX,SFO,6:30 PM,8:06 PM,Boeing 737-800,UA 481
LAX,SFO,10:52 AM,12:30 PM,Bombardier CRJ-200,UA 5416 operated by Skywest DBA UA Express
LAX,SFO,12:01 PM,1:40 PM,Bombardier CRJ-200,UA 5228 operated by Skywest DBA UA Express
LAX,SFO,4:48 PM,6:19 PM,Airbus A319,AA 1900
LAX,SFO,12:30 PM,2:04 PM,Airbus A319,AA 497
LAX,SFO,7:45 PM,9:21 PM,Airbus A320,UA 283
LAX,SFO,7:25 AM,9:04 AM,Bombardier CRJ-200,UA 5664 operated by Skywest DBA UA Express
LAX,SFO,9:54 PM,11:28 PM,Embraer 175,AA 6085 operated by Compass Airlines As American Eagle
LAX,SFO,8:20 AM,9:59 AM,Boeing 737-800,AA 2861
LAX,SFO,3:45 PM,5:21 PM,Boeing 737-900,UA 460
LAX,SFO,2:38 PM,4:13 PM,Embraer 175,AA 6028 operated by Compass Airlines As American Eagle
LAX,SFO,10:00 AM,11:37 AM,Embraer 175,AA 6033 operated by Compass Airlines As American Eagle
LAX,SFO,6:30 AM,8:06 AM,Airbus A319,UA 471
LAX,PHX,7:42 PM,10:06 PM,Airbus A321,AA 53
LAX,PHX,8:40 PM,11:10 PM,Embraer 175,DL 5735 operated by Compass DBA DL Connection
LAX,PHX,1:50 PM,4:22 PM,Embraer 175,DL 5696 operated by Compass DBA DL Connection
LAX,PHX,8:15 AM,10:48 AM,Embraer 175 (Enhanced Winglets),UA 5411 operated by Skywest DBA UA Express
LAX,PHX,4:43 PM,7:18 PM,Embraer 175,DL 5718 operated by Compass DBA DL Connection
LAX,PHX,11:00 AM,1:36 PM,Embraer 175,DL 5766 operated by Compass DBA DL Connection
LAX,PHX,4:17 PM,6:29 PM,Airbus A319,AA 896
LAX,PHX,7:28 PM,9:41 PM,Airbus A319,AA 1031
LAX,PHX,10:05 AM,12:32 PM,Airbus A321,AA 1702
LAX,PHX,6:00 AM,8:28 AM,Airbus A321,AA 2027
LAX,PHX,7:22 AM,9:55 AM,Airbus A321,AA 1662
LAX,PHX,5:35 PM,8:01 PM,Embraer 175 (Enhanced Winglets),UA 5512 operated by Skywest DBA UA Express
LAX,PHX,8:35 AM,11:12 AM,Embraer 175,DL 5759 operated by Compass DBA DL Connection
LAX,PHX,4:44 PM,7:11 PM,Airbus A321,AA 899
LAX,PHX,6:05 PM,8:35 PM,Canadair Regional Jet 700,AA 3258 operated by Skywest Airlines As American Eagle
LAX,PHX,12:13 PM,2:25 PM,Airbus A319,AA 749
LAX,PHX,9:54 AM,12:07 PM,Airbus A320,AA 452
LAX,PHX,6:00 AM,8:14 AM,Airbus A319,AA 1688
LAX,SEA,8:55 PM,11:47 PM,Boeing 737-800 ,DL 2388
LAX,SEA,7:52 PM,11:03 PM,Embraer 175 ,AA 6038 operated by Compass Airlines As American Eagle
LAX,SEA,6:00 AM,8:46 AM,Boeing 737-900,AA 6944 operated by Alaska Airlines
LAX,SEA,3:15 PM,6:10 PM,Boeing 737-900 ,DL 990
LAX,SEA,4:17 PM,7:26 PM,Embraer 175 ,AA 6052 operated by Compass Airlines As American Eagle
LAX,SEA,7:00 AM,10:13 AM,Embraer 175 ,AA 6058 operated by Compass Airlines As American Eagle
